date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2017-02-13T00:00:00.000Z,232.770004,233.070007,232.050003,232.080002,55182100,200.8309636363,201.0898023636,200.2097560401,200.2356387912,55182100,0.0,1.0
2017-02-14T00:00:00.000Z,233.699997,233.710007,232.160004,232.559998,71109000,201.6333496274,201.6419861266,200.3046634871,200.6497731623,71109000,0.0,1.0
2017-02-15T00:00:00.000Z,234.919998,235.139999,233.389999,233.449997,86785800,202.6859507884,202.8757648198,201.3658873428,201.417652845,86785800,0.0,1.0
2017-02-16T00:00:00.000Z,234.720001,235.160004,233.850006,234.949997,84722400,202.5133959509,202.8930248763,201.7627754619,202.7118335396,84722400,0.0,1.0
2017-02-17T00:00:00.000Z,235.089996,235.089996,233.929993,233.949997,77204100,202.8326228749,202.8326228749,201.8317872161,201.8490464098,77204100,0.0,1.0
2017-02-21T00:00:00.000Z,236.490005,236.690002,235.509995,235.520004,88946100,204.0405326216,204.2130874592,203.1949926066,203.203628243,88946100,0.0,1.0
2017-02-22T00:00:00.000Z,236.279999,236.539993,235.830002,236.020004,62115200,203.8593421477,204.0836616247,203.4710905276,203.6350218079,62115200,0.0,1.0
2017-02-23T00:00:00.000Z,236.440002,236.899994,235.559998,236.880005,74615900,203.9973906768,204.3942658541,203.2381345515,204.3770196022,74615900,0.0,1.0
2017-02-24T00:00:00.000Z,236.740005,236.789993,235.410004,235.460007,82381600,204.2562294041,204.2993584071,203.1087216587,203.1518636036,82381600,0.0,1.0
2017-02-27T00:00:00.000Z,237.110001,237.309998,236.350006,236.639999,56515400,204.5754571909,204.7480120285,203.9197432862,204.1699455144,56515400,0.0,1.0
2017-02-28T00:00:00.000Z,236.470001,236.949997,236.020004,236.669998,96961900,204.0232734279,204.437407799,203.6350218079,204.1958282655,96961900,0.0,1.0
2017-03-01T00:00:00.000Z,239.779999,240.320007,238.369995,238.389999,149158200,206.8790971017,207.345009054,205.6625637976,205.6798229914,149158200,0.0,1.0
2017-03-02T00:00:00.000Z,238.270004,239.570007,238.210007,239.559998,70246000,205.5762928497,206.6979187067,205.5245282103,206.6892830704,70246000,0.0,1.0
2017-03-03T00:00:00.000Z,238.419998,238.610001,237.729996,238.169998,81974300,205.7057057425,205.8696378855,205.1103808974,205.49000896,81974300,0.0,1.0
2017-03-06T00:00:00.000Z,237.710007,238.119995,237.009995,237.5,55391500,205.0931346455,205.4468670152,204.4891733012,204.9119433087,55391500,0.0,1.0
2017-03-07T00:00:00.000Z,237.0,237.770004,236.759995,237.360001,65103700,204.4805497438,205.1448992849,204.2734765188,204.7911539733,65103700,0.0,1.0
2017-03-08T00:00:00.000Z,236.559998,237.639999,236.399994,237.339996,78168800,204.1009216812,205.0327326441,203.9628722893,204.7738939168,78168800,0.0,1.0
2017-03-09T00:00:00.000Z,236.860001,237.240005,235.740005,236.699997,90683900,204.3597604085,204.6876229689,203.3934422743,204.2217110166,90683900,0.0,1.0
2017-03-10T00:00:00.000Z,237.690002,238.020004,236.589996,237.970001,81991700,205.0758745889,205.3605960673,204.1268035695,205.3174541225,81991700,0.0,1.0
2017-03-13T00:00:00.000Z,237.809998,237.860001,237.240005,237.619995,57256800,205.1794055933,205.2225475382,204.6876229689,205.0154734503,57256800,0.0,1.0
2017-03-14T00:00:00.000Z,236.899994,237.240005,236.190002,237.179993,59880800,204.3942658541,204.6876229689,203.7816938943,204.6358453877,59880800,0.0,1.0
2017-03-15T00:00:00.000Z,238.949997,239.440002,237.289993,237.559998,96081800,206.1629820584,206.5857520659,204.730751972,204.9637088109,96081800,0.0,1.0
2017-03-16T00:00:00.000Z,238.479996,239.199997,238.100006,239.110001,78344000,205.7574712447,206.3786788409,205.4296207633,206.3010314503,78344000,0.0,1.0
2017-03-17T00:00:00.000Z,237.029999,237.970001,237.029999,237.75,89002100,205.3977934088,206.2123499519,205.3977934088,206.0217085979,89002100,1.033118,1.0
2017-03-20T00:00:00.000Z,236.770004,237.360001,236.320007,237.029999,52537000,205.1724953473,205.6837558731,204.7825514953,205.3977934088,52537000,0.0,1.0
2017-03-21T00:00:00.000Z,233.729996,237.610001,233.580002,237.470001,131809300,202.5381834974,205.9003927907,202.4082065462,205.7790761168,131809300,0.0,1.0
2017-03-22T00:00:00.000Z,234.279999,234.610001,233.050003,233.770004,97569200,203.0147873157,203.30074978,201.9489371475,202.5728523366,97569200,0.0,1.0
2017-03-23T00:00:00.000Z,234.029999,235.339996,233.600006,234.279999,100410300,202.7981503981,203.9333252465,202.4255409658,203.0147873157,100410300,0.0,1.0
2017-03-24T00:00:00.000Z,233.860001,235.039993,232.960007,234.380005,112504900,202.6508390273,203.6733583458,201.8709513234,203.101447282,112504900,0.0,1.0
2017-03-27T00:00:00.000Z,233.619995,233.919998,231.610001,231.929993,87454500,202.4428623871,202.7028292879,200.7011067693,200.9783950914,87454500,0.0,1.0
2017-03-28T00:00:00.000Z,235.320007,235.809998,233.139999,233.270004,93483900,203.9160038251,204.3406043846,202.0269229716,202.1395785015,93483900,0.0,1.0
2017-03-29T00:00:00.000Z,235.539993,235.809998,234.729996,234.990005,61950400,204.1066321809,204.3406043846,203.4047311677,203.6300413608,61950400,0.0,1.0
2017-03-30T00:00:00.000Z,236.289993,236.520004,235.270004,235.470001,56737900,204.7565429336,204.9558584298,203.872673842,204.0459807764,56737900,0.0,1.0
2017-03-31T00:00:00.000Z,235.740005,236.509995,235.679993,235.899994,73733100,204.2799521135,204.9471851541,204.2279488547,204.4185902087,73733100,0.0,1.0
2017-04-03T00:00:00.000Z,235.330002,236.029999,233.910004,235.800003,85546500,203.9246649691,204.5312457386,202.6941690104,204.3319432406,85546500,0.0,1.0
2017-04-04T00:00:00.000Z,235.479996,235.580002,234.559998,235.0,56466200,204.0546419203,204.1413018866,203.2574197968,203.6387025048,56466200,0.0,1.0
2017-04-05T00:00:00.000Z,234.779999,237.389999,234.539993,236.259995,108800600,203.4480611508,205.7097505701,203.2400845107,204.7305482366,108800600,0.0,1.0
2017-04-06T00:00:00.000Z,235.440002,236.039993,234.429993,234.940002,69135800,204.0199852128,204.539906016,203.1447642669,203.5867113777,69135800,0.0,1.0
